"asm_script","status","partial_reason","c_owner","evidence","maps_referenced","warps","npcs","signs","items","trainers","hidden_events","surface_score","keyness"
"PewterNidoranHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"PokemonTower7F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","4","0","0","0","0","5","low"
"RedsHouse1F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","1","1","0","0","0","5","low"
"Route11Gate2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","2","2","0","0","0","5","low"
"Route16Gate2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","2","2","0","0","0","5","low"
"Route22Gate.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; gate_scripts.c","event_map_symbol_exact; explicit_scripts_ref","1","4","1","0","0","0","0","5","low"
"Route5.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","4","1","0","0","0","0","5","low"
"Route5Gate.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","1","0","0","0","0","5","low"
"Route6Gate.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","1","0","0","0","0","5","low"
"Route7.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","4","1","0","0","0","0","5","low"
"Route7Gate.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","1","0","0","0","0","5","low"
"Route8Gate.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","4","1","0","0","0","0","5","low"
"SafariZoneEast.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","2","3","0","0","0","0","5","low"
"SafariZoneEastRestHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"SafariZoneNorth.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","2","3","0","0","0","0","5","low"
"SafariZoneNorthRestHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"SafariZoneWest.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","2","3","0","0","0","0","5","low"
"SafariZoneWestRestHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"SaffronMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"UndergroundPathRoute7Copy.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","2","0","0","0","0","5","low"
"VermilionMart.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"VermilionPidgeyHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","3","0","0","0","0","5","low"
"CeruleanBadgeHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","1","0","0","0","0","4","low"
"CeruleanTradeHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"CinnabarLabFossilRoom.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"DiglettsCaveRoute11.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","1","0","0","0","0","4","low"
"DiglettsCaveRoute2.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","1","0","0","0","0","4","low"
"FuchsiaGoodRodHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","1","0","0","0","0","4","low"
"LavenderCuboneHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"PewterSpeechHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"PokemonTower2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"Route12Gate2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","1","2","0","0","0","4","low"
"Route16FlyHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"Route18Gate2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","1","2","0","0","0","4","low"
"Route2TradeHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"SafariZoneCenter.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","2","2","0","0","0","0","4","low"
"SafariZoneCenterRestHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"SSAnneCaptainsRoom.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","event_data.c; ss_anne_scripts.c","event_map_symbol_exact; explicit_scripts_ref","1","1","1","2","0","0","0","4","low"
"UndergroundPathRoute5.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","1","0","0","0","0","4","low"
"UndergroundPathRoute8.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","3","1","0","0","0","0","4","low"
"ViridianSchoolHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","2","0","0","0","0","4","low"
"CeladonMansionRoof.asm","partial","mapped only via split/variant map symbol(s) in event_data; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_prefix","1","2","1","0","0","0","0","3","low"
"CeladonMansionRoofHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"Daycare.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"HallOfFame.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"MrPsychicsHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"NameRatersHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"Route12SuperRodHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"Route15Gate2F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","1","1","1","0","0","0","3","low"
"SafariZoneSecretHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"SSAnne3F.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"VermilionOldRodHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"VermilionTradeHouse.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","2","1","0","0","0","0","3","low"
"Colosseum.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","1","0","0","0","0","1","low"
"TradeCenter.asm","partial","map present in event_data dispatch only; no dedicated *_scripts.c owner found","event_data.c","event_map_symbol_exact","1","0","1","0","0","0","0","1","low"
"VermilionDock.asm","partial","covered by grouped script module via explicit asm reference (not one-file-per-map)","ss_anne_scripts.c","explicit_scripts_ref","0","0","0","0","0","0","0","0","low"
